成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
吃飽再減肥, 134, 3092304, 0, 1209, 0, 12827133, 0, 3097, 0, 13840, 河東, 九關門神
方唐鏡, 156, 3071241, 0, 921, 0, 8960189, 0, 1271, 0, 7380, 河東, 未分組
Wei, 152, 3045543, 0, 0, 0, 15265468, 0, 3679, 0, 13040, 河東, B組
任我行丨行行, 14, 3002961, 0, 2824, 0, 15517855, 0, 11512, 0, 15846, 河東, B組
瘋玖陳, 48, 2892762, 0, 0, 0, 53312777, 1, 0, 0, 23340, 河東, A組
員外, 153, 2887599, 0, 1044, 0, 14007923, 0, 2003, 0, 14820, 河東, C組
危公羊, 111, 2831428, 0, 2978, 0, 9619586, 0, 6790, 0, 10906, 河東, C組
馬勒喇嘛, 125, 2830504, 0, 3053, 0, 9600662, 0, 6154, 0, 16130, 河北, F組
高陽璿, 160, 2780018, 0, 1933, 0, 4432125, 0, 2283, 0, 11549, 河東, C組
一顆石頭, 112, 2685195, 0, 1208, 0, 2685195, 0, 1208, 0, 19353, 河東, 未分組
書童, 86, 2638151, 0, 1903, 0, 16965617, 0, 7489, 0, 17380, 河東, C組
莫那泰雅, 151, 2498474, 0, 1435, 0, 13767013, 2, 6572, 0, 13679, 河東, B組
工無不克, 117, 2421954, 0, 2168, 0, 16483075, 4, 10057, 0, 16413, 河東, 資州門神
段裕, 143, 2380858, 0, 1616, 0, 8529542, 0, 6462, 0, 14440, 河東, C組
无知, 155, 2377257, 0, 916, 0, 9010840, 0, 3799, 0, 11049, 河東, 資州門神
聖域の白風夕, 21, 2309549, 0, 3781, 0, 23149547, 0, 11398, 0, 19250, 河東, A組
虎盡金來, 150, 2299532, 0, 1706, 0, 5907395, 199, 2924, 0, 13300, 河東, C組
粉家軍丨楓, 50, 2282220, 0, 2494, 0, 16001763, 0, 7314, 0, 13480, 河東, F組
西八丨太曦, 47, 2202593, 0, 2772, 0, 10101673, 0, 12383, 0, 14823, 河東, 九關門神
西八丨小柴犬, 38, 2103717, 0, 2701, 0, 17886359, 0, 11249, 0, 17390, 河東, A組
夏侯同, 130, 2097675, 0, 1674, 0, 10567391, 0, 5407, 0, 14826, 河東, C組
