成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
迷彩, 101, 5467563, 0, 3160, 102980, 5564787, 0, 3160, 102980, 12336, 河東, C組
無双丨諦聽, 15, 11042425, 1, 6059, 81177, 12381972, 1, 6059, 81177, 14690, 河東, C組
聖域の七七, 108, 3298932, 15, 3847, 66392, 4379153, 15, 3847, 66392, 7623, 河北, C組
丨九紋龍丨, 102, 11702803, 5, 4225, 58403, 13434865, 5, 4225, 58403, 15080, 河東, B組
力宏敢, 153, 5483767, 0, 986, 11882, 6153316, 0, 986, 11882, 8683, 河北, B組
皇甫昊天, 162, 1330415, 0, 0, 0, 1330415, 0, 0, 0, 8820, 河北, F組
雪月囧, 67, 5603221, 0, 6535, 0, 8065335, 0, 6535, 0, 9103, 河東, C組
西八丨止水, 27, 6209512, 0, 5236, 0, 8213071, 0, 5236, 0, 9056, 河東, C組
WarCry, 98, 2059243, 0, 5776, 0, 2992810, 0, 5776, 0, 9103, 河北, 鋪路小隊
天機丨太公望, 64, 7628589, 108, 6641, 0, 10038883, 108, 6641, 0, 8795, 河東, F組
任我行丨行行, 17, 4745382, 0, 5509, 0, 6363418, 0, 5509, 0, 8925, 河北, B組
清嵐, 46, 4396609, 339, 6517, 0, 4619946, 339, 6517, 0, 8943, 河東, 資州門神
無雙丨小黑熊, 145, 10294646, 0, 2159, 0, 12524612, 0, 2159, 0, 18193, 河東, A組
蒙古包, 49, 3890268, 0, 6628, 0, 3890268, 0, 6628, 0, 8659, 河東, B組
吃飽再減肥, 140, 2473863, 0, 336, 0, 2473863, 0, 336, 0, 8326, 河東, 九關門神
員外, 156, 4262170, 0, 350, 0, 4556865, 0, 350, 0, 8163, 河北, C組
子無, 21, 4174740, 0, 6224, 0, 5892273, 0, 6224, 0, 9156, 河北, 鋪路小隊
西八丨皮卡皮, 85, 2539072, 0, 5370, 0, 2618074, 0, 5370, 0, 8366, 河東, A組
海賊豹魯哥, 70, 5589330, 0, 5245, 0, 5592469, 0, 5245, 0, 8499, 河北, 九關門神
瑋王, 137, 3729845, 0, 2774, 0, 4306502, 0, 2774, 0, 8453, 河東, C組
明治光秀, 129, 3228330, 12, 2464, 0, 3507038, 12, 2464, 0, 8500, 河北, F組
海贼丨虫崽崽, 91, 6970968, 0, 5645, 0, 6970968, 0, 5645, 0, 9165, 河北, C組
天機丨天相, 114, 4324130, 0, 3982, 0, 4324130, 0, 3982, 0, 9226, 河北, 資州門神
呆腦獸, 45, 8704179, 532, 4745, 0, 8704179, 532, 4745, 0, 9253, 河北, C組
書童, 16, 5661171, 0, 5236, 0, 7635387, 0, 5236, 0, 10076, 河北, C組
海賊丨綠油精, 82, 2430367, 0, 450, 0, 2445843, 0, 450, 0, 10073, 河北, 鋪路小隊
上官飛燕, 96, 5681996, 0, 4778, 0, 5681996, 0, 4778, 0, 10043, 河東, C組
西八丨太曦, 94, 2589778, 0, 3605, 0, 2589778, 0, 3605, 0, 9863, 河東, 九關門神
工無不克, 107, 5369475, 4, 5295, 0, 6838519, 4, 5295, 0, 10199, 河北, 資州門神
支援支援就好, 124, 3882084, 25, 4186, 0, 3882084, 25, 4186, 0, 10246, 河東, 九關門神
魔彈射手, 53, 4508412, 0, 5079, 0, 5858670, 0, 5079, 0, 10238, 河東, C組
仲孫骏琛, 83, 6522029, 0, 958, 0, 7128320, 0, 958, 0, 10302, 河東, C組
董豆豆, 50, 8242863, 0, 3066, 0, 9333701, 0, 3066, 0, 7993, 河東, B組
苦行僧, 23, 3416543, 11, 4198, 0, 3416543, 11, 4198, 0, 9641, 河東, B組
薪水不夠多, 79, 2749009, 0, 4791, 0, 2749009, 0, 4791, 0, 9566, 河東, B組
西八丨西瓜, 78, 5451291, 17, 4410, 0, 5451291, 17, 4410, 0, 9389, 河北, C組
宇髓天元, 111, 8563825, 0, 350, 0, 9731657, 0, 350, 0, 9360, 河北, F組
西八丨科爾鴨, 115, 5409253, 0, 842, 0, 9631997, 0, 842, 0, 9573, 河北, C組
北屯曹孟德, 138, 3636379, 0, 2380, 0, 5234101, 0, 2380, 0, 9429, 河北, C組
雲來俠客, 3, 9908131, 0, 4279, 0, 9908131, 0, 4279, 0, 9458, 河東, B組
Wei, 148, 2685516, 0, 1031, 0, 2685516, 0, 1031, 0, 9453, 河北, B組
夜讀出師表, 44, 9159992, 0, 6006, 0, 9159992, 0, 6006, 0, 9502, 河東, C組
燕丨家榮志豪, 116, 7484074, 0, 952, 0, 7489756, 0, 952, 0, 7903, 河北, C組
虎盡金來, 150, 134364, 0, 0, 0, 134364, 0, 0, 0, 7846, 河北, C組
西八丨芙莉蓮, 120, 6360737, 0, 2660, 0, 8463932, 0, 2660, 0, 7826, 河東, C組
王文嫣, 127, 5110435, 0, 2149, 0, 6341154, 0, 2149, 0, 5673, 河北, F組
危公羊, 125, 772383, 0, 0, 0, 1163871, 0, 0, 0, 5509, 河北, C組
海賊丨薩勃, 144, 795157, 0, 0, 0, 795157, 0, 0, 0, 5503, 河北, B組
西八丨尾魚, 118, 1338228, 0, 2486, 0, 3122983, 0, 2486, 0, 5743, 河北, F組
狼丨yu, 143, 2011780, 0, 1239, 0, 2011780, 0, 1239, 0, 5882, 河東, 鋪路小隊
音速河馬, 161, 2566580, 0, 700, 0, 3058996, 0, 700, 0, 5811, 河北, C組
西八丨老婦人, 147, 2351982, 0, 1764, 0, 2398856, 0, 1764, 0, 5886, 河北, 九關門神
巨型擊霸, 164, 2171393, 0, 0, 0, 2171393, 0, 0, 0, 5926, 河北, F組
弒離, 104, 1542101, 0, 4683, 0, 1944852, 0, 4683, 0, 5486, 河北, 鋪路小隊
狠丨劉備, 113, 2197678, 0, 3352, 0, 2853785, 0, 3352, 0, 5392, 河北, C組
怜怜兒, 131, 160075, 0, 2933, 0, 593699, 0, 2933, 0, 2353, 河北, 鋪路小隊
八卦丨尖叫兒, 157, 915176, 0, 497, 0, 1044178, 0, 497, 0, 2333, 河北, F組
DongDong, 22, 2342018, 0, 4689, 0, 3390053, 0, 4689, 0, 5475, 河北, B組
Sowut, 160, 490118, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, F組
无知, 151, 2384324, 0, 1242, 0, 2777163, 0, 1242, 0, 5340, 河北, 資州門神
小海豹披薩, 135, 6987239, 0, 2760, 0, 7113203, 0, 2760, 0, 5000, 河北, C組
蛙丨Yyy, 149, 563500, 0, 0, 0, 563500, 0, 0, 0, 5355, 河北, 未分組
明也, 132, 5405274, 277, 1470, 0, 5771351, 277, 1470, 0, 10302, 河東, 九關門神
黑馬丨聖, 73, 1464860, 0, 6839, 0, 1579775, 0, 6839, 0, 5946, 河北, F組
豪有力, 130, 1062887, 0, 0, 0, 1062887, 0, 0, 0, 6403, 河北, F組
八卦丨羊羊兒, 126, 5470336, 0, 3169, 0, 6870616, 0, 3169, 0, 7717, 河北, 資州門神
歐冶亭, 121, 4128448, 0, 4262, 0, 4300690, 0, 4262, 0, 7696, 河北, C組
段裕, 142, 1052266, 0, 1918, 0, 1052266, 0, 1918, 0, 7652, 河北, C組
粉家軍丨楓, 37, 3948367, 0, 2789, 0, 3948367, 0, 2789, 0, 7760, 河北, F組
批歪丨清風, 48, 5971165, 0, 6533, 0, 7680513, 0, 6533, 0, 7779, 河北, F組
批歪丨阿順, 30, 6648382, 0, 6806, 0, 7001894, 0, 6806, 0, 7766, 河北, C組
天機丨貪狼, 89, 436668, 0, 311, 0, 1682273, 0, 311, 0, 7796, 河北, 資州門神
凜丨打菜, 159, 91763, 0, 0, 0, 157009, 0, 0, 0, 6110, 河北, F組
韓戩, 72, 711372, 0, 0, 0, 711372, 0, 0, 0, 7623, 河東, B組
莫痴香, 128, 0, 0, 0, 0, 0, 0, 0, 0, 7320, 河北, 未分組
孔晤, 81, 3385855, 0, 6072, 0, 4886866, 0, 6072, 0, 6572, 河東, C組
海賊丨鎖聾, 141, 129782, 0, 0, 0, 129782, 0, 0, 0, 6413, 河北, B組
