成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
八卦丨羊羊兒, 60, 5267008, 6337, 8816, 0, 19582736, 6337, 13007, 0, 18105, 河東, 資州門神
西八丨皮卡皮, 114, 3352528, 0, 8820, 0, 12052407, 0, 16472, 0, 14640, 河東, A組
聖域の白風夕, 23, 8927631, 0, 8882, 0, 29767629, 0, 16499, 0, 19368, 河東, A組
西八丨止水, 55, 5020132, 0, 8934, 0, 23759125, 1363, 18791, 0, 17309, 河東, C組
西八丨小柴犬, 52, 6665856, 0, 9008, 0, 22448498, 0, 17556, 0, 16453, 司隸, A組
祖寒, 40, 12085703, 0, 9049, 0, 27809932, 0, 21772, 0, 18478, 河東, B組
天機丨天相, 89, 5767559, 0, 9097, 0, 13661345, 60, 17858, 0, 13863, 河東, 資州門神
榮正平, 78, 4434125, 8, 9111, 0, 17484989, 1697, 18510, 0, 19026, 河東, C組
哈囉丨靖, 32, 12342815, 0, 9134, 0, 35366881, 1394, 20983, 0, 18730, 河東, 九關門神
这样一个人, 2, 13144512, 0, 9278, 0, 42509550, 0, 18965, 0, 18068, 河東, B組
雪月囧, 45, 3555080, 0, 9432, 0, 17719459, 129, 22652, 0, 15410, 河東, C組
苦行僧, 53, 9147545, 10, 9601, 0, 22306629, 21, 20175, 0, 17006, 河東, B組
南門城衛, 51, 4567605, 0, 9749, 0, 27954038, 0, 19318, 0, 16230, 司隸, A組
風雨雙修, 44, 14737602, 0, 10033, 0, 30529757, 165, 20815, 0, 15503, 河東, B組
天機丨太公望, 49, 8605843, 0, 10069, 0, 30255677, 108, 21288, 0, 16626, 司隸, F組
大宇宙就是我, 61, 4374543, 0, 10294, 0, 13434445, 187, 22635, 0, 11040, 河東, C組
仇恨天, 8, 15420991, 0, 10427, 0, 37471649, 0, 20021, 0, 17489, 河東, B組
西八丨茗雪, 28, 3063143, 0, 10501, 0, 30883187, 1723, 22252, 0, 21090, 司隸, 九關門神
程凝, 29, 7124206, 0, 10569, 0, 28277873, 556, 22404, 0, 21851, 河東, B組
批歪丨阿順, 7, 12443130, 0, 10626, 0, 27118835, 0, 25596, 0, 15343, 河東, C組
山窮水盡, 6, 17796140, 0, 10673, 0, 48955576, 0, 24030, 0, 22380, 河東, B組
無雙丨尛, 1, 5967012, 0, 10736, 0, 39436548, 0, 22945, 0, 20133, 司隸, A組
Joker囧, 30, 12796054, 0, 10742, 0, 41103765, 0, 23521, 0, 23140, 河東, C組
雙煞丨白無常, 48, 9419178, 0, 10957, 0, 34825073, 917, 23843, 0, 20814, 河東, B組
清嵐, 20, 2566372, 0, 11024, 0, 10136049, 339, 28920, 0, 12474, 河東, 資州門神
克萊兒, 46, 5636720, 0, 17198, 100, 21684877, 1, 36363, 100, 17322, 河東, B組
