成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
明也, 128, 254836, 4730, 0, 0, 97141485, 660027, 13813, 0, 21126, 官渡, 官渡右
兵臨丨C羅, 105, 310939, 6221, 0, 0, 260945484, 651391, 96995, 55769630, 29750, 河內, 河內
海賊丨金將, 121, 4152629, 5935, 1430, 0, 164005191, 640891, 66306, 0, 37773, 官渡, 官渡左
龜頭磨豆子, 127, 16645, 333, 0, 0, 192043705, 623685, 28055, 45880654, 25580, 官渡, 官渡右
NOUS丨傑, 126, 488748, 9778, 0, 0, 135972643, 621753, 20588, 0, 26890, 官渡, 官渡右
董豆豆, 114, 932887, 4532, 0, 0, 200495619, 619147, 14854, 43617, 26130, 官渡, 官渡右
蚊豬, 116, 4200, 0, 0, 0, 217271950, 618989, 40586, 49252635, 31220, 官渡, 官渡右
日丨石橋, 124, 0, 0, 0, 0, 198574485, 614873, 7345, 0, 25540, 河內, 河內
符号, 112, 3459322, 19873, 0, 0, 156483210, 606289, 14775, 0, 21330, 河北, 河內
普龍供, 132, 5615648, 12898, 4625, 0, 163978203, 601613, 48774, 0, 23856, 河內, 河內
哈囉丨不給糖, 125, 0, 0, 0, 0, 164529967, 600488, 27065, 0, 26040, 官渡, 門神
默丨飇, 147, 3067623, 20359, 0, 0, 225996395, 595582, 34779, 6538480, 19836, 官渡, 門神
方唐鏡, 108, 0, 0, 0, 0, 113310637, 583844, 43162, 19675496, 19600, 官渡, 門神
酒丨黑絲正妹, 153, 622258, 12279, 501, 0, 94459021, 582789, 9867, 17881351, 16905, 官渡, 門神
弑丨百里, 133, 959041, 10399, 563, 0, 150812305, 579570, 11904, 15411968, 23673, 河內, 河內
你的好厝邊, 129, 11642962, 21632, 0, 3091535, 335630760, 577730, 66440, 24886305, 26990, 河內, 河內
正宗丨韓脆果, 149, 13865159, 39784, 2048, 0, 113290129, 574147, 16951, 0, 9739, 河內, 未分組
風丨倒霉熊, 138, 0, 0, 0, 0, 266958878, 572213, 61933, 0, 32960, 河內, 河內
韓戩, 131, 0, 0, 0, 0, 114248169, 571433, 67245, 98535648, 23163, 官渡, 官渡左
亞絲娜, 141, 6273558, 14863, 2776, 0, 179795272, 570542, 48924, 0, 22606, 河內, 河內
粉家軍丨楓, 142, 115812, 2241, 0, 0, 169810926, 544430, 18814, 86888, 18851, 官渡, 官渡左
阿波羅, 122, 2693311, 9893, 4492, 0, 136397736, 538779, 45427, 56040299, 30609, 官渡, 未分組
娃丨Zdx, 130, 4928059, 4405, 0, 0, 98443003, 528716, 47937, 299680, 20853, 官渡, 官渡左
小農夫, 140, 378919, 7450, 0, 0, 164031108, 524250, 55537, 30023190, 33820, 官渡, 官渡右
太子哥, 143, 3286895, 6880, 100, 0, 205232310, 522061, 46234, 3943595, 26320, 河內, 河內
海賊丨綠油精, 145, 735269, 14496, 0, 0, 103722195, 515489, 57775, 83327, 17640, 官渡, 官渡左
俠盜丨判官, 157, 133445, 2669, 0, 0, 328657384, 505628, 72208, 103277, 34630, 官渡, 門神
Dreams, 123, 1512459, 5594, 0, 0, 232206735, 502760, 36618, 95597175, 33160, 河內, 河內
海贼丨虫崽崽, 135, 2366672, 32080, 0, 0, 175803976, 498691, 58867, 0, 26580, 河內, 河內
惡人丨壞東東, 146, 0, 0, 0, 0, 90300973, 495829, 15207, 8313757, 23363, 官渡, 門神
黑馬丨聖, 152, 742190, 14799, 0, 0, 131702860, 491910, 56338, 0, 19273, 官渡, 官渡左
阿陀磨須, 136, 0, 0, 0, 0, 130178919, 485677, 33220, 0, 20050, 河內, 河內
奧米蘑菇雞, 137, 0, 0, 0, 0, 206858277, 484321, 21559, 124139, 26670, 官渡, 官渡右
星願, 144, 365194, 7189, 0, 0, 59434501, 474092, 27750, 122400, 27890, 官渡, 官渡左
影雨, 154, 0, 0, 0, 0, 149607804, 453295, 15525, 42046, 23730, 官渡, 官渡右
八卦丨小黑熊, 139, 0, 0, 0, 0, 135643494, 450858, 44686, 4074356, 23620, 河內, 河內
怜怜兒, 156, 0, 0, 0, 0, 112208727, 442115, 67814, 0, 25970, 官渡, 官渡左
暴力超人, 150, 0, 0, 0, 0, 64362068, 398914, 20632, 0, 23393, 官渡, 門神
低齡兒, 151, 892036, 0, 0, 0, 166382879, 375263, 14514, 10934576, 28050, 河內, 河內
公良翰翮, 161, 347594, 6883, 0, 0, 85389925, 372441, 24535, 0, 27380, 官渡, 未分組
默丨齊Z斷金, 155, 0, 0, 0, 0, 110283946, 372146, 10710, 0, 22660, 官渡, 官渡左
鐵拳卡普, 148, 2057974, 0, 0, 0, 432763834, 351468, 63081, 203785, 28200, 官渡, 官渡左
海賊豹魯哥, 163, 5208184, 5540, 735, 0, 265364424, 319124, 51844, 18960113, 32700, 官渡, 未分組
一步登天, 158, 6000, 0, 0, 0, 259377832, 313279, 24066, 96088252, 33450, 河內, 河內
鐘建, 159, 0, 0, 0, 0, 141167136, 306140, 23215, 87014, 20336, 官渡, 官渡左
繁星丨鳳王, 162, 167580, 240, 0, 0, 88890064, 279365, 12471, 7860783, 17836, 官渡, 門神
Rio, 160, 0, 0, 0, 0, 104698492, 279086, 18770, 135355, 22113, 官渡, 門神
喫魚, 164, 524511, 1466, 400, 0, 65485937, 252573, 27373, 0, 18313, 官渡, 官渡左
不可能忍不住, 168, 341202, 6433, 0, 1372919, 47201991, 216386, 8168, 49784517, 11583, 河內, 河內
葡撻, 169, 168315, 3368, 0, 0, 50715310, 211013, 8716, 0, 23049, 河北, 河內
海贼丨红豆, 166, 3229982, 0, 0, 0, 225144373, 192317, 15244, 0, 26940, 河內, 河內
yicang, 165, 0, 0, 0, 0, 86168251, 180361, 28544, 121883, 19620, 官渡, 未分組
九九九九九九, 171, 294429, 5757, 0, 0, 187646230, 176592, 14875, 0, 25840, 河北, 未分組
微风, 172, 407403, 6898, 206, 0, 87169952, 136740, 18018, 0, 26083, 河內, 未分組
儒丨皇儒無上, 170, 471376, 1224, 0, 0, 85903643, 134042, 25141, 181356880, 24640, 官渡, 未分組
匠子, 173, 0, 0, 0, 0, 71758717, 128502, 19347, 0, 6582, 官渡, 門神
愛打混柯P的, 177, 0, 0, 0, 0, 163118940, 119137, 20204, 0, 15736, 河北, 未分組
酒丨紫荊城, 179, 0, 0, 0, 0, 91675851, 112996, 3506, 51350754, 17054, 河北, 河內
海賊丨愛虐兒, 167, 0, 0, 0, 0, 64108361, 109704, 40839, 42324, 20650, 河內, 河內
米多格拿魯, 175, 222655, 1490, 0, 0, 71997238, 105010, 34239, 0, 25110, 河內, 未分組
希當普利斯, 180, 296598, 5814, 0, 0, 62417367, 100483, 16291, 0, 29650, 官渡, 未分組
音速河馬, 182, 0, 0, 0, 0, 58311434, 75477, 4528, 0, 7380, 官渡, 未分組
s聞西s, 174, 0, 0, 0, 0, 40835131, 73729, 28689, 113012707, 14610, 官渡, 門神
呱丨辣鼻, 181, 0, 0, 0, 0, 40285025, 55488, 700, 2805405, 17360, 河內, 未分組
弑丿延少, 176, 0, 0, 0, 0, 64769702, 47465, 12735, 123358, 29323, 河內, 未分組
一平安一, 183, 5878014, 0, 0, 0, 286978697, 33088, 2090, 0, 27098, 河北, 河內
卍正卍, 184, 105850, 2118, 0, 0, 34013029, 28971, 1359, 0, 18010, 官渡, 門神
柬埔寨賣人囉, 186, 8286, 0, 0, 0, 13427144, 28163, 2498, 0, 8818, 河北, 未分組
弒丿延少, 178, 0, 0, 0, 0, 38810507, 26082, 16421, 40307, 20770, 河內, 未分組
龍若華, 187, 47312, 828, 150, 0, 9444040, 25766, 1900, 0, 14610, 官渡, 未分組
不说, 185, 0, 0, 0, 0, 23987725, 25037, 9340, 0, 14565, 河內, 未分組
小米酒, 188, 10794, 0, 0, 0, 37552192, 15666, 1400, 0, 2312, 河內, 未分組
小豬強, 189, 0, 0, 0, 0, 4451267, 729, 19292, 0, 2725, 河北, 未分組
夜l繼兒動姆, 190, 12603961, 0, 400, 0, 75406322, 462, 9650, 0, 18990, 河北, 未分組
殘兵丨只會, 194, 3456534, 0, 0, 0, 6576337, 0, 400, 0, 6510, 河北, 未分組
花翎, 191, 0, 0, 0, 0, 1689221, 0, 2450, 0, 9882, 河北, 未分組
烈火丨藤原, 192, 7196, 0, 0, 0, 27517171, 0, 350, 0, 2720, 河北, 未分組
道丨巨戟士, 193, 163757, 0, 0, 0, 5127449, 0, 0, 0, 2706, 河北, 未分組
