成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組,,,成員, 戰功總量,, 助攻總量,
尼姆,141,17031901,2311,4575,872037,34222212,5305,13142,872037,16955, 河東, 文青茶棧,,TRUE,尼姆,13471,10477,13142,4575
甲必丹,100,22352094,19849,9291,407752,26495316,20472,9291,407752,16086, 司隸, 天機海賊,,TRUE,甲必丹,29399,28776,9291,9291
仲孫骏琛,57,19464039,31166,13624,572486,37515207,38658,16106,572486,26333, 司隸, 西八屁屁,,TRUE,仲孫骏琛,42322,34830,16106,13624
任我行丨行行,47,27938116,19418,11024,567590,40453010,19418,19712,567590,19843, 司隸, 西八屁屁,,TRUE,任我行丨行行,28300,28300,19712,11024
光年之外,45,54419953,57864,18605,168963,84668277,57865,26541,168963,23896, 司隸, 文青茶棧,,TRUE,光年之外,76439,76438,26541,18605
卍正卍,175,1232589,0,0,0,1600317,0,0,0,4992, 河東, 文青茶棧,,TRUE,卍正卍,0,0,0,0
危公羊,136,23231615,3458,10350,617192,30019773,3458,14162,617192,12986, 司隸, 西八屁屁,,TRUE,危公羊,7674,7674,14162,10350
吃飽再減肥,122,25867143,20413,6174,269849,35601972,20413,8062,269849,17500, 司隸, 西八屁屁,,TRUE,吃飽再減肥,24702,24702,8062,6174
宇髓天元,144,21101465,2062,400,1936548,38052399,2062,1800,1936548,20860, 河東, 未分組,,TRUE,宇髓天元,2062,2062,1800,400
百世經綸,93,28169216,6997,15009,710357,44769047,7960,25111,710357,22390, 司隸, 文青茶棧,,TRUE,百世經綸,10977,10014,25111,15009
老夫人,36,21549131,10616,19027,619938,52171166,11259,29150,619938,17413, 司隸, 血流,,TRUE,老夫人,21016,20373,29150,19027
西八丨小柴犬,67,16134733,22474,14097,587388,31917375,22474,22645,587388,19393, 司隸, 西八屁屁,,TRUE,西八丨小柴犬,34138,34138,22645,14097
西八丨太曦,85,12025905,17660,11404,145235,19924985,17660,21015,145235,15660, 司隸, 西八屁屁,,TRUE,西八丨太曦,27451,27451,21015,11404
西八丨止水,80,14143707,4859,18605,462325,32882700,6222,28462,462325,19879, 司隸, 西八屁屁,,TRUE,西八丨止水,8572,7209,28462,18605
西八丨皮卡皮,118,20032419,18295,10740,939919,28732298,18295,18392,939919,15023, 司隸, 西八屁屁,,TRUE,西八丨皮卡皮,20539,20539,18392,10740
西八丨老婦人,157,8195887,46,4959,665692,14008556,46,7423,665692,14719, 司隸, 西八屁屁,,TRUE,西八丨老婦人,293,293,7423,4959
西八丨西瓜,91,25474757,6899,19616,459350,36798250,6916,26723,459350,20256, 河東, 西八屁屁,,TRUE,西八丨西瓜,13756,13739,26723,19616
西八丨尾魚,164,848416,0,633,0,7596264,0,3119,0,6403, 河東, 西八屁屁,,TRUE,西八丨尾魚,0,0,3119,633
西八丨兔兔,9,44644840,77925,19165,598956,73715477,78132,30329,598956,25940, 司隸, 西八屁屁,,TRUE,西八丨兔兔,116318,116111,30329,19165
西八丨芙莉蓮,92,30116698,40210,9627,507948,50465647,40210,13834,507948,25089, 河東, 西八屁屁,,TRUE,西八丨芙莉蓮,42791,42791,13834,9627
西八丨科爾鴨,75,19876059,8061,21195,1915368,35974044,8124,26920,1915368,21100, 司隸, 西八屁屁,,TRUE,西八丨科爾鴨,11402,11339,26920,21195
西八丨風鈴草,171,801156,0,2679,0,1346704,0,2679,0,1140, 河北, 西八屁屁,,TRUE,西八丨風鈴草,0,0,2679,2679
西八丨茗雪,19,15469823,58944,24193,445968,43289867,60667,35944,445968,23672, 司隸, 西八屁屁,,TRUE,西八丨茗雪,67679,65956,35944,24193
西八丨策鎖,147,9506510,3180,6744,825093,17768659,3908,10679,825093,12743, 司隸, 西八屁屁,,TRUE,西八丨策鎖,3908,3180,10679,6744
西八丨潑猴,150,6075491,2108,7765,226437,6698612,2108,10939,226437,13759, 河東, 西八屁屁,,TRUE,西八丨潑猴,7252,7252,10939,7765
你喔哭,161,3428736,8243,350,1259680,3690610,8243,350,1259680,6081, 河東, 天機海賊,,TRUE,你喔哭,11606,11606,350,350
克萊兒,58,20674506,3066,43045,600000,36722663,3067,62210,600000,21860, 司隸, 血流,,TRUE,克萊兒,13354,13353,62210,43045
呆腦獸,78,32306275,24676,10304,535800,54887012,26264,21142,535800,24140, 司隸, 血流,,TRUE,呆腦獸,32722,31134,21142,10304
批歪丨阿順,26,22885290,12255,18982,563351,37560995,12255,33952,563351,17916, 司隸, 血流,,TRUE,批歪丨阿順,17106,17106,33952,18982
批歪丨培根,12,43427575,86618,22717,207514,88208152,86618,32153,207514,23554, 司隸, 血流,,TRUE,批歪丨培根,100467,100467,32153,22717
批歪丨清風,95,22122194,6532,11552,1117558,35537465,6532,21262,1117558,17300, 司隸, 血流,,TRUE,批歪丨清風,9718,9718,21262,11552
身輕如燕,46,40743740,10766,20827,243682,65303906,13240,30072,243682,23279, 司隸, 血流,,TRUE,身輕如燕,22007,19533,30072,20827
夜不凡,25,23632919,42501,12682,571568,41354020,47203,22275,571568,23669, 司隸, 西八屁屁,,TRUE,夜不凡,56527,51825,22275,12682
夜讀出師表,98,33065368,7008,20900,778756,51862111,7008,31861,778756,17966, 司隸, 西八屁屁,,TRUE,夜讀出師表,10585,10585,31861,20900
怜怜兒,170,1056,0,0,0,1086007,0,0,0,3674, 河北, 天機海賊,,TRUE,怜怜兒,0,0,0,0
抹茶天授,173,7537265,0,1400,409107,7537265,0,1400,409107,11786, 河北, 西八屁屁,,TRUE,抹茶天授,1435,1435,1400,1400
明也,145,8200150,3835,5024,1155110,18757980,4112,6844,1155110,16043, 司隸, 天機海賊,,TRUE,明也,5393,5116,6844,5024
明治光秀,167,21355728,1,1705,433780,30391276,13,4169,433780,21683, 河東, 文青茶棧,,TRUE,明治光秀,8851,8839,4169,1705
林伯,163,8814368,1193,5495,614010,8814368,1193,5495,614010,15023, 河東, 文青茶棧,,TRUE,林伯,1313,1313,5495,5495
虎盡金來,154,15665077,1377,9356,563436,19272940,1576,10574,563436,16590, 司隸, 西八屁屁,,TRUE,虎盡金來,4838,4639,10574,9356
这样一个人,5,21742112,34233,20621,649508,51107150,34233,30308,649508,18410, 司隸, 文青茶棧,,TRUE,这样一个人,38198,38198,30308,20621
阿良,97,31876820,4201,15272,129438,44859842,4201,25093,129438,24903, 司隸, 西八屁屁,,TRUE,阿良,8884,8884,25093,15272
南門城衛,103,18322329,6476,13349,555534,41708762,6476,22918,555534,19186, 司隸, 文青茶棧,,TRUE,南門城衛,10318,10318,22918,13349
哈囉丨靖,24,33001821,29076,21848,807611,56025887,30470,33697,807611,22806, 司隸, 天機海賊,,TRUE,哈囉丨靖,38261,36867,33697,21848
姚擎蒼,176,2727538,1247,1250,1133387,2727538,1247,1250,1133387,9083, 河東, 血流,,TRUE,姚擎蒼,1356,1356,1250,1250
娃丨Zdx,72,11256427,31802,9312,1064491,26954580,31802,20826,1064491,15390, 司隸, 天機海賊,,TRUE,娃丨Zdx,39620,39620,20826,9312
宣颜,28,36184899,33743,21273,530720,76119405,33743,33635,530720,25446, 司隸, 西八屁屁,,TRUE,宣颜,41816,41816,33635,21273
柒柒兒,82,29564135,44900,7271,0,49778933,44900,13277,0,21563, 司隸, 天機海賊,,TRUE,柒柒兒,50778,50778,13277,7271
柳逸天下,177,184005,0,0,0,184005,0,0,0,1880, 河北, 文青茶棧,,TRUE,柳逸天下,0,0,0,0
段裕,149,26925455,2831,10327,723320,33074139,2831,15173,723320,19406, 河東, 西八屁屁,,TRUE,段裕,3796,3796,15173,10327
狠丨劉備,89,8184131,21999,8733,393483,15594743,21999,18356,393483,14210, 司隸, 血流,,TRUE,狠丨劉備,32605,32605,18356,8733
皇丨源澤,70,21289843,37294,21315,410800,41838521,38615,30267,559642,20316, 司隸, 西八屁屁,,TRUE,皇丨源澤,52587,51266,30267,21315
