成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
西八丨太曦, 49, 6352985, 3211, 8484, 145235, 14252065, 3211, 18095, 145235, 15726, 司隸, 西八屁屁
天機丨天相, 95, 6317377, 0, 9097, 0, 14211163, 60, 17858, 0, 13866, 河東, 天機海賊
魔彈射手, 59, 6307458, 788, 8434, 162192, 20683663, 1832, 19281, 162192, 16507, 河東, 未分組
將軍, 82, 6277579, 729, 7972, 858269, 18105468, 775, 16932, 858269, 14700, 河東, 血流
塵Rigan, 117, 6049723, 893, 5850, 121152, 11402732, 893, 9679, 121152, 12716, 司隸, 文青茶棧
虎盡金來, 154, 5991928, 0, 4732, 120774, 9599791, 199, 5950, 120774, 13980, 河東, 未分組
方唐鏡, 158, 5817144, 18, 2463, 0, 11706092, 18, 2813, 0, 7773, 河東, 未分組
巨型擊霸, 168, 5804279, 0, 0, 0, 9349192, 0, 0, 0, 14890, 河東, 未分組
巴士歐起來, 172, 5755127, 0, 0, 0, 5763404, 0, 0, 0, 13650, 河東, 未分組
狠丨劉備, 102, 5738813, 1998, 5429, 189431, 13149425, 1998, 15052, 189431, 14250, 司隸, 未分組
南門城衛, 62, 5717179, 99, 9749, 124000, 29103612, 99, 19318, 124000, 17250, 司隸, 文青茶棧
豪有力, 122, 5626369, 0, 6535, 135833, 11645872, 0, 12089, 135833, 11372, 河東, 未分組
悟空我大佬, 138, 5601110, 3129, 3366, 0, 10182678, 3129, 4066, 0, 13900, 司隸, 未分組
八卦丨羊羊兒, 48, 5517043, 11301, 9166, 169836, 19832771, 11301, 13357, 169836, 18099, 河東, 天機海賊
娃丨Zdx, 99, 5503664, 2636, 2350, 125271, 21201817, 2636, 13864, 125271, 12403, 司隸, 天機海賊
西八丨止水, 66, 5115575, 0, 9284, 0, 23854568, 1363, 19141, 0, 17678, 河東, 西八屁屁
莫那泰雅, 142, 4879676, 1897, 7318, 128495, 16148215, 1899, 12455, 128495, 14656, 河東, 未分組
海贼丨虫崽崽, 14, 4204993, 0, 5797, 354998, 23320062, 0, 15119, 354998, 17420, 河東, 天機海賊
WarCry, 126, 4129235, 0, 3065, 0, 9132180, 0, 14857, 0, 12795, 河東, 血流
雪月囧, 44, 4050876, 2400, 9782, 126692, 18215255, 2529, 23002, 126692, 15450, 河東, 未分組
项羽, 163, 4025688, 0, 5679, 351651, 5330386, 0, 7379, 351651, 11146, 河東, 重點警告
西八丨茗雪, 25, 4013269, 1073, 10501, 0, 31833313, 2796, 22252, 0, 21500, 司隸, 西八屁屁
弒離, 130, 3931426, 434, 4079, 283526, 9718100, 1932, 12186, 283526, 13209, 河東, 血流
馬勒喇嘛, 119, 3861330, 944, 7460, 191275, 10631488, 944, 10561, 191275, 16392, 河東, 未分組
抹茶天授, 176, 2954075, 0, 700, 0, 2954075, 0, 700, 0, 11363, 河北, 未分組
莫痴香, 124, 2922896, 0, 7111, 0, 6313206, 23, 9422, 0, 13526, 河東, 未分組
无知, 153, 2820905, 0, 2935, 125105, 9454488, 0, 5818, 125105, 11035, 河東, 未分組
音速河馬, 175, 2791228, 0, 0, 0, 11328714, 0, 700, 0, 8127, 河北, 天機海賊
明也, 121, 2689063, 17, 4324, 251044, 13246893, 294, 6144, 251044, 13523, 司隸, 天機海賊
林伯, 170, 2545795, 10, 600, 162546, 2545795, 10, 600, 162546, 12949, 河東, 未分組
聖域の七七, 120, 1960452, 0, 4556, 1579117, 11622925, 15, 11348, 2009390, 14573, 河東, 血流
八卦丨尖叫兒, 166, 1749729, 6, 1717, 720353, 6024689, 6, 2914, 720353, 5559, 河東, 天機海賊
黑馬丨聖, 150, 1505979, 0, 1050, 0, 3974863, 0, 8239, 0, 7679, 河東, 天機海賊
卍正卍, 171, 1232589, 0, 0, 0, 1600317, 0, 0, 0, 4992, 河東, 未分組
西八丨潑猴, 148, 930409, 0, 2530, 0, 1553530, 0, 5704, 0, 7369, 河東, 西八屁屁
蛙丨Yyy, 155, 764676, 0, 0, 0, 5738244, 0, 0, 0, 7582, 河北, 未分組
西八丨尾魚, 152, 270329, 0, 633, 0, 7018177, 0, 3119, 0, 6153, 河東, 西八屁屁
柳逸天下, 173, 10986, 0, 0, 0, 10986, 0, 0, 0, 1766, 河北, 未分組
西八丨風鈴草, 167, 1064, 0, 2427, 0, 546612, 0, 2427, 0, 820, 河北, 西八屁屁
怜怜兒, 164, 0, 0, 0, 0, 1084951, 0, 0, 0, 3674, 河北, 天機海賊
