成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
力宏敢, 156, 9372848, 0, 1289, 11882, 10042397, 0, 1289, 11882, 11849, 河東, B組
海賊豹魯哥, 94, 9313510, 0, 6033, 0, 9316649, 0, 6033, 0, 11900, 河東, 九關門神
八卦丨羊羊兒, 107, 9302754, 0, 3841, 0, 10703034, 0, 3841, 0, 12173, 河北, 資州門神
阿良, 51, 9212633, 0, 9471, 0, 10370989, 0, 9471, 0, 14103, 河東, C組
克萊兒, 46, 9183232, 1, 14508, 0, 10229179, 1, 14508, 0, 13913, 河東, B組
祖寒, 37, 9110294, 0, 9085, 0, 10008442, 0, 9085, 0, 14230, 河東, B組
明也, 140, 9072698, 277, 1470, 0, 9438775, 277, 1470, 0, 12943, 河東, 九關門神
粉家軍丨楓, 67, 9049747, 0, 3645, 0, 9049747, 0, 3645, 0, 7926, 河北, F組
工無不克, 120, 8932727, 4, 5778, 0, 10401771, 4, 5778, 0, 13200, 河北, 資州門神
任我行丨行行, 35, 8925413, 0, 7875, 0, 10543449, 0, 7875, 0, 13462, 河東, B組
雪月囧, 82, 8604637, 0, 8665, 0, 11066751, 0, 8665, 0, 12213, 河東, C組
苦行僧, 21, 8596826, 11, 7264, 0, 8596826, 11, 7264, 0, 12598, 河東, B組
歐冶亭, 125, 8514466, 0, 5655, 0, 8686708, 0, 5655, 0, 11082, 河東, C組
西八丨科爾鴨, 108, 8484809, 0, 2289, 0, 12707553, 0, 2289, 0, 10894, 河北, C組
書童, 58, 8272959, 0, 5236, 0, 10247175, 0, 5236, 0, 12158, 河東, C組
瑋王, 132, 8234971, 0, 5314, 0, 8811628, 0, 5314, 0, 12206, 河東, C組
批歪丨清風, 33, 8195482, 0, 9360, 0, 9904830, 0, 9360, 0, 8731, 河北, F組
魔彈射手, 57, 8147393, 0, 8225, 0, 9497651, 0, 8225, 0, 13158, 河東, C組
員外, 155, 8122779, 0, 609, 0, 8417474, 0, 609, 0, 13423, 河東, C組
西八丨西瓜, 63, 7770773, 17, 6156, 0, 7770773, 17, 6156, 0, 11645, 河東, C組
莫那泰雅, 137, 7647993, 0, 3994, 0, 7909026, 0, 3994, 0, 12676, 河北, B組
Wei, 133, 7090193, 0, 3679, 0, 7090193, 0, 3679, 0, 10466, 河北, B組
薪水不夠多, 74, 7053886, 0, 6943, 0, 7053886, 0, 6943, 0, 13723, 河東, B組
聖域の爽哥, 124, 6951595, 299, 4036, 0, 6951595, 299, 4036, 0, 12231, 河北, B組
吃飽再減肥, 139, 6830377, 0, 950, 0, 6830377, 0, 950, 0, 12600, 河東, 九關門神
海贼丨红豆, 32, 6819919, 104, 6947, 0, 9037986, 104, 6947, 0, 9070, 河東, 九關門神
天機丨天相, 110, 6651368, 0, 5847, 0, 6651368, 0, 5847, 0, 11599, 河東, 資州門神
子無, 22, 6322355, 0, 9500, 0, 8039888, 0, 9500, 0, 9979, 河北, 鋪路小隊
DongDong, 45, 6296920, 0, 5949, 0, 7344955, 0, 5949, 0, 10210, 河東, B組
狼丨yu, 142, 5925176, 0, 2632, 0, 5925176, 0, 2632, 0, 9157, 河東, 鋪路小隊
聖域の七七, 85, 5565830, 15, 5604, 430273, 6646051, 15, 5604, 430273, 9992, 河東, C組
大宇宙就是我, 26, 5564081, 0, 11991, 0, 7241143, 0, 11991, 0, 8580, 河東, C組
西八丨太曦, 83, 5552981, 0, 5621, 0, 5552981, 0, 5621, 0, 13072, 河東, 九關門神
將軍, 60, 5526018, 46, 8610, 0, 7511653, 46, 8610, 0, 11287, 河北, C組
音速河馬, 168, 5510409, 0, 700, 0, 6002825, 0, 700, 0, 7109, 河北, C組
北屯曹孟德, 148, 5379287, 0, 2730, 0, 6977009, 0, 2730, 0, 10129, 河北, C組
韓戩, 72, 5284429, 0, 3790, 0, 5284429, 0, 3790, 0, 13135, 河東, B組
明治光秀, 138, 4947906, 12, 2464, 0, 5226614, 12, 2464, 0, 9100, 河北, F組
馬勒喇嘛, 119, 4590196, 0, 2051, 0, 4590196, 0, 2051, 0, 14143, 河北, F組
西八丨尾魚, 134, 4567506, 0, 2486, 0, 6352261, 0, 2486, 0, 5993, 河北, F組
无知, 153, 4323916, 0, 1592, 0, 4716755, 0, 1592, 0, 6746, 河北, 資州門神
夏侯同, 127, 4274894, 0, 1188, 0, 4274894, 0, 1188, 0, 11835, 河北, C組
