成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
孔晤, 64, 13145145, 0, 13124, 0, 14646156, 0, 13124, 0, 13489, 河東, C組
批歪丨阿順, 9, 13816225, 0, 14935, 0, 14169737, 0, 14935, 0, 13363, 河東, C組
苦行僧, 34, 12347589, 11, 10574, 0, 12347589, 11, 10574, 0, 13322, 河東, B組
段裕, 136, 5827627, 0, 4846, 0, 5827627, 0, 4846, 0, 13300, 河東, C組
魃丨讓妳漲潮, 115, 14064251, 0, 3920, 0, 16020037, 0, 3920, 0, 13290, 河東, 資州門神
海賊豹魯哥, 101, 12905841, 141, 7057, 0, 12908980, 141, 7057, 0, 13100, 河東, 九關門神
西八丨西瓜, 78, 11107061, 17, 7107, 0, 11107061, 17, 7107, 0, 13005, 河東, C組
吃飽再減肥, 133, 9067316, 0, 1888, 0, 9067316, 0, 1888, 0, 13000, 河東, 九關門神
明也, 139, 10191753, 277, 1820, 0, 10557830, 277, 1820, 0, 12960, 河東, 九關門神
聖域の爽哥, 131, 8682953, 299, 4836, 0, 8682953, 299, 4836, 0, 12894, 河北, B組
天機丨天相, 91, 7893020, 60, 8761, 0, 7893020, 60, 8761, 0, 12863, 河東, 資州門神
宇髓天元, 122, 15644214, 0, 1400, 0, 16812046, 0, 1400, 0, 12829, 河東, F組
莫那泰雅, 142, 10641783, 2, 5137, 0, 10902816, 2, 5137, 0, 12804, 河北, B組
夏侯同, 123, 7257361, 0, 3733, 0, 7257361, 0, 3733, 0, 12750, 河北, C組
塵Rigan, 108, 4965344, 0, 3479, 0, 4965344, 0, 3479, 0, 12326, 河東, 九關門神
王文嫣, 80, 13617063, 1881, 4354, 0, 14847782, 1881, 4354, 0, 12296, 河東, F組
皇甫昊天, 166, 6482884, 0, 451, 0, 6482884, 0, 451, 0, 12195, 河北, C組
西八丨皮卡皮, 114, 7747148, 0, 7652, 0, 7826150, 0, 7652, 0, 12093, 河東, A組
