成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
熾羽翊, 31, 8000508, 0, 6810, 0, 30863992, 1167, 20695, 0, 18670, 河東, B組
百世經綸, 63, 7962635, 0, 7281, 0, 24562466, 963, 17383, 0, 17622, 河東, B組
Nok, 76, 7924092, 0, 2936, 0, 26369720, 1643, 14817, 0, 17970, 河東, C組
夜不凡, 51, 7714296, 0, 5222, 0, 25435397, 4702, 14815, 0, 18913, 河東, B組
上官飛燕, 87, 7613340, 0, 6100, 0, 20222779, 1497, 16472, 0, 15322, 河東, C組
魃丨讓妳漲潮, 123, 7601857, 0, 4446, 0, 24283564, 0, 8366, 0, 16453, 河東, 資州門神
柒柒兒, 135, 7583146, 0, 700, 0, 27797944, 0, 6706, 0, 20710, 河東, B組
苦行僧, 47, 7487514, 8, 9340, 0, 20646598, 19, 19914, 0, 17012, 河東, B組
熊熊本家, 29, 7388527, 0, 5403, 0, 33463456, 0, 15606, 0, 21030, 河東, C組
圓圓固圓圓, 95, 7205452, 0, 6709, 0, 21583922, 2839, 12531, 0, 17050, 河東, A組
海贼丨红豆, 54, 7134829, 0, 5410, 0, 17839422, 104, 14285, 0, 11030, 河東, 九關門神
太公望二世, 116, 6959929, 0, 3523, 0, 28011792, 0, 11769, 0, 16956, 河東, 九關門神
雙煞丨白無常, 41, 6946393, 0, 10607, 0, 32352288, 917, 23493, 0, 20070, 河東, B組
皇丨源澤, 108, 6946037, 1375, 8067, 0, 27494715, 2696, 17019, 148842, 18980, 河東, 九關門神
通天飛賊, 138, 6937236, 0, 1984, 0, 30285999, 0, 7107, 0, 16426, 河東, B組
DongDong, 77, 6877156, 0, 7307, 0, 18308758, 0, 15924, 0, 12033, 河東, B組
儒丨皇儒無上, 46, 6864348, 0, 3637, 0, 29763596, 0, 12915, 0, 19490, 河東, A組
仲孫骏琛, 62, 6788485, 0, 3988, 0, 24839653, 7492, 6470, 0, 21333, 河東, C組
小海豹披薩, 113, 6730044, 0, 6463, 0, 22216272, 2435, 10623, 0, 15144, 河東, C組
西八丨科爾鴨, 79, 6676858, 0, 7648, 0, 22774843, 63, 13373, 0, 17243, 河東, C組
高原, 101, 6658175, 0, 7102, 0, 26623427, 648, 19998, 0, 16943, 河東, B組
包龍星, 144, 6648726, 0, 2182, 0, 25427734, 48, 3232, 0, 14510, 河東, F組
雙煞丨黑無常, 64, 6614147, 0, 5045, 0, 28165466, 897, 16459, 0, 20450, 河東, B組
Wei, 140, 6496880, 0, 2119, 0, 18716805, 0, 5798, 0, 15140, 河東, B組
尼姆, 109, 6454555, 0, 3175, 0, 23644866, 2994, 11742, 0, 15660, 河東, B組
海賊豹魯哥, 115, 6335840, 0, 3920, 0, 19390194, 141, 10977, 0, 15190, 河東, 九關門神
王文嫣, 98, 6298190, 0, 6450, 0, 22521436, 1881, 10804, 0, 17976, 河東, F組
丨九紋龍丨, 100, 6242657, 2, 6262, 0, 34959672, 1768, 13995, 61277, 16130, 河東, B組
力宏敢, 146, 6190571, 0, 1260, 0, 21508389, 64, 2549, 11882, 15950, 河東, B組
西八丨西瓜, 70, 6168582, 0, 7875, 0, 17492075, 17, 14982, 0, 14483, 河東, C組
狼丨yu, 125, 6108378, 0, 7307, 0, 14114085, 0, 12224, 0, 12213, 河東, 鋪路小隊
滅世傑哥, 71, 6101413, 0, 6268, 0, 25417940, 0, 15445, 0, 20630, 河東, C組
批歪丨清風, 84, 5870635, 0, 5301, 0, 19285906, 0, 15011, 0, 15376, 河東, F組
皇甫昊天, 160, 5835531, 0, 4381, 0, 12357988, 0, 4832, 0, 15519, 河東, C組
神谷龍淵, 104, 5756625, 0, 5598, 0, 18927742, 1667, 10746, 0, 19633, 河東, C組
將軍, 74, 5566744, 0, 7272, 0, 17394633, 46, 16232, 0, 14660, 河東, C組
聖域の白風夕, 21, 5509488, 0, 8431, 0, 26349486, 0, 16048, 0, 19270, 河東, A組
夏侯同, 129, 5376092, 0, 4884, 0, 13845808, 0, 8617, 0, 15013, 河東, C組
程凝, 18, 5321540, 0, 9034, 0, 26475207, 556, 20869, 0, 20801, 河東, B組
無敵奶黃包, 35, 5192343, 0, 8145, 0, 29695899, 0, 23922, 0, 20553, 河東, 九關門神
一顆石頭, 99, 5157974, 78, 2114, 0, 5157974, 78, 2114, 0, 19353, 河東, 未分組
段裕, 137, 5058943, 0, 4598, 0, 11207627, 0, 9444, 0, 15612, 河東, C組
明治光秀, 158, 5017114, 0, 1705, 0, 14052662, 12, 4169, 0, 16606, 河東, F組
西八丨止水, 56, 5011075, 0, 8934, 0, 23750068, 1363, 18791, 0, 17306, 河東, C組
方唐鏡, 157, 4975960, 0, 2463, 0, 10864908, 0, 2813, 0, 7420, 河東, 未分組
狠丨劉備, 105, 4942732, 0, 3724, 0, 12353344, 0, 13347, 0, 13670, 河東, C組
危公羊, 112, 4936581, 0, 7586, 0, 11724739, 0, 11398, 0, 10932, 河東, C組
