成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
聚丨織田信長, 139, 4950516, 0, 1524, 0, 5458984, 0, 1524, 0, 9629, 河北, C組
熾羽翊, 27, 4687224, 0, 5529, 0, 6790582, 0, 5529, 0, 9829, 河北, B組
神谷龍淵, 124, 1640454, 0, 1648, 0, 1640454, 0, 1648, 0, 9886, 河北, C組
柒柒兒, 58, 5076983, 0, 4606, 0, 5990564, 0, 4606, 0, 9909, 河北, B組
將軍, 53, 3163750, 0, 5600, 0, 5149385, 0, 5600, 0, 9959, 河北, C組
Nok, 74, 3567221, 0, 5398, 0, 3697390, 0, 5398, 0, 9973, 河北, C組
龍匀, 20, 8170045, 0, 4985, 0, 9714690, 0, 4985, 0, 10003, 河北, B組
榮正平, 113, 2345965, 0, 3124, 0, 2345965, 0, 3124, 0, 10013, 河北, C組
聖域の爽哥, 107, 1776779, 0, 2798, 0, 1776779, 0, 2798, 0, 10040, 河北, B組
聚丨程堯, 34, 2875511, 0, 5257, 0, 4316820, 0, 5257, 0, 10089, 河北, B組
通天飛賊, 89, 6650971, 0, 3419, 0, 9017578, 0, 3419, 0, 10286, 河北, B組
無双丨射波師, 80, 4869191, 0, 4963, 0, 6906834, 0, 4963, 0, 10293, 河北, C組
魅力十足, 37, 5639577, 0, 4973, 0, 7611043, 0, 4973, 0, 10360, 河北, B組
魃丨讓妳漲潮, 85, 5288269, 0, 2716, 0, 7244055, 0, 2716, 0, 10382, 河北, 資州門神
夜不凡, 55, 1483040, 0, 4228, 0, 1483040, 0, 4228, 0, 10386, 河北, B組
樂正小谷, 93, 4361584, 0, 4259, 0, 6434831, 0, 4259, 0, 10540, 河北, B組
丨九紋龍丨, 101, 5663220, 5, 3268, 0, 7395282, 5, 3268, 0, 10660, 河北, B組
魃丨讓妳受潮, 79, 4999042, 0, 2492, 0, 6223337, 0, 2492, 0, 10720, 河北, 資州門神
電馭叛客, 145, 1752167, 0, 0, 0, 1752167, 0, 0, 0, 10763, 河北, B組
Foden, 44, 5008048, 0, 5410, 0, 7137110, 0, 5410, 0, 10802, 河北, C組
老夫人, 21, 6851110, 0, 5406, 0, 9252809, 0, 5406, 0, 10840, 河北, C組
海贼丨霸王, 3, 6876816, 0, 7252, 0, 7132740, 0, 7252, 0, 10865, 河東, A組
RyanCats, 87, 4644089, 0, 1149, 0, 6707878, 0, 1149, 0, 11120, 河北, 資州門神
程凝, 28, 3170947, 0, 5600, 0, 3604265, 0, 5600, 0, 11123, 河北, B組
聖域のMoM, 9, 4718807, 0, 2366, 0, 4848606, 0, 2366, 0, 11157, 河北, A組
狼丨暈船仔, 119, 6256388, 0, 3066, 0, 9602560, 0, 3066, 0, 11239, 河東, C組
西八丨小柴犬, 63, 5585709, 0, 4663, 0, 8196499, 0, 4663, 0, 11326, 河東, B組
聖域の雲雲, 84, 3985161, 0, 4518, 0, 6252871, 0, 4518, 0, 11340, 河北, B組
北門城衛, 41, 14051092, 0, 4984, 0, 17522444, 0, 4984, 0, 11495, 河東, A組
獵犬, 7, 7198289, 0, 4644, 0, 10506804, 0, 4644, 0, 11587, 河東, B組
一條根王, 56, 4936330, 0, 4858, 0, 6330461, 0, 4858, 0, 11680, 河北, B組
熊熊本家, 24, 8369980, 0, 5110, 0, 10048020, 0, 5110, 0, 11692, 河北, C組
滅世傑哥, 90, 4492294, 0, 4281, 0, 6043402, 0, 4281, 0, 11723, 河北, C組
雙煞丨白無常, 47, 5301535, 0, 5330, 0, 6929641, 0, 5330, 0, 11975, 河北, B組
儒丨皇儒無上, 59, 4604959, 0, 3949, 0, 7129464, 0, 3949, 0, 11990, 河東, A組
雙煞丨黑無常, 17, 4183131, 1, 5497, 0, 5509434, 1, 5497, 0, 12003, 河北, B組
迷彩, 105, 3851200, 0, 3160, 0, 3948424, 0, 3160, 0, 12083, 河北, C組
山窮水盡, 4, 5865596, 0, 5236, 0, 7859571, 0, 5236, 0, 12285, 河北, B組
司馬丨洛神, 35, 5439864, 0, 4634, 0, 7729881, 0, 4634, 0, 12330, 河北, B組
西八丨兔兔, 19, 5890668, 0, 6421, 0, 8323524, 0, 6421, 0, 12346, 河北, B組
