成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
西八丨風鈴草, 167, 226425, 0, 0, 0, 226425, 0, 0, 0, 800, 河北, F組
八卦丨滴滴兒, 162, 27426, 0, 350, 0, 137715, 0, 350, 0, 1259, 河北, 鋪路小隊
卍正卍, 169, 69781, 0, 0, 0, 69781, 0, 0, 0, 2166, 河北, 未分組
八卦丨尖叫兒, 160, 2301591, 0, 497, 0, 2430593, 0, 497, 0, 2533, 河北, F組
Sowut, 164, 490118, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, F組
西八丨潑猴, 166, 329974, 0, 350, 0, 329974, 0, 350, 0, 5346, 河北, 未分組
弒離, 111, 2091013, 0, 5572, 0, 2493764, 0, 5572, 0, 5518, 河北, 鋪路小隊
小海豹披薩, 140, 10228683, 0, 2760, 0, 10354647, 0, 2760, 0, 5553, 河北, C組
西八丨尾魚, 128, 3648393, 0, 2486, 0, 5433148, 0, 2486, 0, 5743, 河北, F組
方唐鏡, 146, 593096, 0, 0, 0, 716997, 0, 0, 0, 5800, 河北, 未分組
危公羊, 107, 1572046, 0, 2660, 0, 1963534, 0, 2660, 0, 5818, 河東, C組
黑馬丨聖, 94, 1650274, 0, 6839, 0, 1765189, 0, 6839, 0, 5926, 河北, F組
海賊丨薩勃, 150, 2490445, 0, 0, 0, 2490445, 0, 0, 0, 6043, 河北, B組
蛙丨Yyy, 145, 1585262, 0, 632, 0, 1585262, 0, 632, 0, 6172, 河北, 未分組
无知, 151, 3403756, 0, 1242, 0, 3796595, 0, 1242, 0, 6283, 河北, 資州門神
巨型擊霸, 168, 3099468, 0, 0, 0, 3099468, 0, 0, 0, 6293, 河北, F組
DongDong, 33, 3322734, 0, 5949, 0, 4370769, 0, 5949, 0, 6568, 河東, B組
王文嫣, 127, 8479762, 0, 3479, 0, 9710481, 0, 3479, 0, 6620, 河北, F組
音速河馬, 165, 3920397, 0, 700, 0, 4412813, 0, 700, 0, 6880, 河北, C組
包龍星, 139, 10650193, 48, 350, 0, 11189526, 48, 350, 0, 7106, 河北, F組
凜丨打菜, 156, 1070811, 0, 672, 0, 1136057, 0, 672, 0, 7250, 河北, F組
豪有力, 117, 2003904, 0, 2016, 0, 2003904, 0, 2016, 0, 7440, 河北, F組
大宇宙就是我, 20, 4330885, 0, 11025, 0, 6007947, 0, 11025, 0, 7540, 河東, C組
粉家軍丨楓, 57, 6858032, 0, 3645, 0, 6858032, 0, 3645, 0, 7760, 河北, F組
塵Rigan, 86, 990226, 0, 2086, 0, 990226, 0, 2086, 0, 8020, 河東, 九關門神
天機丨貪狼, 93, 1584081, 0, 1700, 0, 2829686, 0, 1700, 0, 8039, 河北, 資州門神
西八丨老婦人, 152, 4387353, 0, 2114, 0, 4434227, 0, 2114, 0, 8083, 河東, 九關門神
狼丨yu, 149, 4055345, 0, 1589, 0, 4055345, 0, 1589, 0, 8163, 河東, 鋪路小隊
甲必丹, 137, 1017730, 0, 0, 0, 1017730, 0, 0, 0, 8314, 河北, 資州門神
虎盡金來, 153, 1555573, 0, 358, 0, 1555573, 0, 358, 0, 8424, 河東, C組
批歪丨清風, 26, 7960441, 0, 9111, 0, 9669789, 0, 9111, 0, 8536, 河北, F組
狠丨劉備, 90, 3084670, 0, 6320, 0, 3740777, 0, 6320, 0, 8563, 河東, C組
王师丨打地上, 163, 64800, 0, 350, 0, 538300, 0, 350, 0, 8630, 河北, 未分組
莫痴香, 135, 1407603, 0, 350, 0, 1407603, 0, 350, 0, 8720, 河北, C組
海賊丨鎖聾, 148, 1208324, 0, 350, 0, 1208324, 0, 350, 0, 8833, 河北, B組
歐冶亭, 120, 7194748, 0, 5305, 0, 7366990, 0, 5305, 0, 9016, 河東, C組
海贼丨红豆, 24, 6818407, 104, 6368, 0, 9036474, 104, 6368, 0, 9050, 河東, 九關門神
明治光秀, 136, 3785183, 12, 2464, 0, 4063891, 12, 2464, 0, 9100, 河北, F組
西八丨西瓜, 67, 6250889, 17, 5773, 0, 6250889, 17, 5773, 0, 9351, 河北, C組
