成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
天機丨太公望, 64, 6128925, 108, 6606, 0, 8539219, 108, 6606, 0, 9513, 河北, F組
Sowut, 158, 490118, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, F組
無雙丨尛, 4, 10817973, 0, 5740, 0, 14015965, 0, 5740, 0, 13910, 河東, A組
獵犬, 1, 11216640, 0, 5568, 0, 14525155, 0, 5568, 0, 15583, 河東, B組
狼丨阿巴怪, 29, 10799490, 0, 5586, 0, 14082114, 0, 5586, 0, 13733, 河東, 資州門神
文山青茶, 58, 8136588, 0, 5019, 0, 11078575, 0, 5019, 0, 10190, 河東, B組
狼丨暈船仔, 95, 7525261, 0, 3920, 0, 10871433, 0, 3920, 0, 12530, 河東, C組
清嵐, 46, 3704165, 339, 6517, 0, 3927502, 339, 6517, 0, 8456, 河東, 資州門神
西八丨皮卡皮, 85, 2169293, 0, 5370, 0, 2248295, 0, 5370, 0, 7463, 河東, A組
西八丨老婦人, 147, 1924364, 0, 1764, 0, 1971238, 0, 1764, 0, 5103, 河北, 九關門神
西八丨策鎖, 154, 1628346, 0, 644, 0, 3077235, 0, 644, 0, 6733, 河北, 九關門神
八卦丨滴滴兒, 157, 0, 0, 0, 0, 110289, 0, 0, 0, 1119, 河北, 鋪路小隊
無双丨史坦那, 81, 27389063, 0, 3057, 0, 32326863, 0, 3057, 0, 25488, 河東, A組
北門城衛, 66, 19771994, 0, 5626, 0, 23243346, 0, 5626, 0, 16600, 河東, A組
瘋玖陳, 18, 18173928, 1, 2289, 0, 22500295, 1, 2289, 0, 12981, 河北, A組
批歪丨培根, 5, 17307581, 0, 5488, 0, 20270416, 0, 5488, 0, 13856, 河北, 資州門神
宣颜, 31, 14809875, 0, 6040, 0, 17762263, 0, 6040, 0, 14180, 河北, C組
劍仔十八世, 6, 14130286, 0, 5516, 0, 17162537, 0, 5516, 0, 16426, 河東, A組
靈佬寺丶金童, 74, 13599530, 26, 4462, 0, 16029624, 26, 4462, 0, 14020, 河東, B組
诸葛靖, 54, 12957831, 0, 3731, 0, 15365617, 0, 3731, 0, 12703, 河北, C組
出木杉同學, 151, 12797591, 0, 1476, 0, 15510523, 0, 1476, 0, 14783, 河東, A組
司馬丨洛神, 65, 12752582, 0, 4886, 0, 15042599, 0, 4886, 0, 14682, 河東, B組
聖域の雲雲, 103, 12571467, 0, 4518, 0, 14839177, 0, 4518, 0, 15786, 河東, B組
聖域のMoM, 25, 11221077, 0, 2366, 0, 11350876, 0, 2366, 0, 15483, 河東, A組
海贼丨霸王, 2, 10996555, 0, 8743, 0, 11252479, 0, 8743, 0, 12199, 河東, A組
龍匀, 7, 10876374, 0, 5553, 0, 12421019, 0, 5553, 0, 10182, 河北, B組
劍丨莫問, 28, 10836904, 0, 5341, 0, 13211451, 0, 5341, 0, 14853, 河東, B組
西八丨茗雪, 51, 10324661, 0, 5402, 0, 12035294, 0, 5752, 0, 12916, 河東, 九關門神
丨九紋龍丨, 101, 10122587, 5, 4225, 58403, 11854649, 5, 4225, 58403, 14480, 河東, B組
魅力十足, 69, 9924556, 0, 4973, 0, 11896022, 0, 4973, 0, 12933, 河東, B組
山窮水盡, 9, 9912454, 0, 7294, 0, 11906429, 0, 7294, 0, 14666, 河東, B組
雙煞丨白無常, 63, 9749646, 0, 6469, 0, 11377752, 0, 6469, 0, 13543, 河東, B組
熊熊本家, 43, 9473736, 0, 5444, 0, 11151776, 0, 5444, 0, 12309, 河北, C組
老夫人, 38, 9445255, 0, 6070, 0, 11846954, 0, 6070, 0, 10840, 河北, C組
这样一个人, 24, 9423094, 0, 4522, 0, 11239509, 0, 4522, 0, 12020, 河東, B組
無双丨諦聽, 15, 9259431, 1, 6059, 81177, 10598978, 1, 6059, 81177, 12640, 河東, C組
聖域の白風夕, 108, 9079192, 0, 4112, 0, 12672518, 0, 4112, 0, 16900, 河東, A組
通天飛賊, 112, 8908178, 0, 3419, 0, 11274785, 0, 3419, 0, 10398, 河北, B組
樂正小谷, 100, 8666864, 0, 4808, 0, 10740111, 0, 4808, 0, 12241, 河東, B組
無敵奶黃包, 19, 8607432, 0, 9100, 0, 11471864, 0, 9100, 0, 13176, 河東, 九關門神
南門城衛, 41, 8563958, 0, 6105, 0, 10046461, 0, 6105, 0, 11570, 河東, A組
光年之外, 59, 8475460, 1, 3409, 0, 11091483, 1, 3409, 0, 12799, 河北, B組
身輕如燕, 8, 8473905, 0, 5717, 0, 8673736, 0, 5717, 0, 12632, 河北, B組
無雙丨小黑熊, 145, 8357245, 0, 2159, 0, 10587211, 0, 2159, 0, 17263, 河東, A組
Joker囧, 10, 8310318, 0, 6288, 0, 11372253, 0, 6288, 0, 9540, 河東, C組
雲來俠客, 3, 8302558, 0, 4279, 0, 8302558, 0, 4279, 0, 8321, 河東, B組
宇髓天元, 111, 8141365, 0, 350, 0, 9309197, 0, 350, 0, 9363, 河北, F組
Foden, 77, 8017570, 0, 5760, 0, 10146632, 0, 5760, 0, 12469, 河北, C組
西八丨小柴犬, 56, 8008508, 0, 5094, 0, 10619298, 0, 5094, 0, 13283, 河東, A組
高原, 76, 7750123, 0, 7455, 0, 8833089, 0, 7455, 0, 10049, 河東, B組
太公望二世, 87, 7691126, 0, 4594, 0, 9558292, 0, 4594, 0, 10035, 河東, 九關門神
仙草丨不回家, 42, 7647454, 0, 6706, 0, 7750172, 0, 6706, 0, 11536, 河北, C組
西八丨兔兔, 40, 7627258, 0, 6806, 0, 10060114, 0, 6806, 0, 12456, 河東, B組
聚丨織田信長, 153, 7619619, 9, 1524, 0, 8128087, 9, 1524, 0, 11703, 河北, C組
一條根王, 36, 7575628, 0, 5096, 0, 8969759, 0, 5096, 0, 12513, 河東, B組
無双丨射波師, 92, 7510167, 0, 5530, 0, 9547810, 0, 5530, 0, 11039, 河北, C組
夜讀出師表, 44, 7471377, 0, 5936, 0, 7471377, 0, 5936, 0, 7752, 河北, C組
雙煞丨黑無常, 34, 7272296, 1, 5770, 0, 8598599, 1, 5770, 0, 13500, 河東, B組
娃丨Zdx, 35, 7259692, 0, 6714, 0, 7527096, 0, 6714, 0, 8576, 河東, B組
Nok, 80, 7067444, 0, 6378, 0, 7197613, 0, 6378, 0, 11496, 河北, C組
呆腦獸, 45, 7015336, 532, 4745, 0, 7015336, 532, 4745, 0, 9253, 河北, C組
歐陽燁, 33, 6893533, 3, 4068, 0, 9049647, 3, 4068, 0, 9895, 河北, C組
滅世傑哥, 53, 6855169, 0, 5149, 0, 8406277, 0, 5149, 0, 12123, 河北, C組
哈囉丨靖, 32, 6822034, 0, 5138, 0, 6822034, 0, 5138, 0, 11146, 河東, 九關門神
儒丨皇儒無上, 20, 6803872, 0, 4992, 0, 9328377, 0, 4992, 0, 13410, 河東, A組
熾羽翊, 39, 6792068, 0, 6572, 0, 8895426, 0, 6572, 0, 11098, 河東, B組
董豆豆, 50, 6745897, 0, 3066, 0, 7836735, 0, 3066, 0, 6646, 河北, B組
聚丨程堯, 61, 6722810, 0, 5733, 0, 8164119, 0, 5733, 0, 13263, 河東, 九關門神
無双丨王騎, 47, 6481024, 0, 5332, 0, 7595558, 0, 5332, 0, 12086, 河東, A組
皇丨源澤, 117, 6417889, 0, 3776, 0, 6417889, 0, 3776, 0, 13102, 河東, 九關門神
柒柒兒, 84, 6332034, 0, 4606, 0, 7245615, 0, 4606, 0, 10936, 河北, B組
魃丨讓妳漲潮, 106, 6327925, 0, 2716, 0, 8283711, 0, 2716, 0, 10990, 河北, 資州門神
魃丨讓妳受潮, 98, 6182001, 0, 2492, 0, 7406296, 0, 2492, 0, 11860, 河北, 資州門神
程凝, 12, 5985085, 411, 6608, 0, 6418403, 411, 6608, 0, 11283, 河北, B組
飛鳥和蟬, 62, 5946395, 0, 6300, 0, 6371130, 0, 6300, 0, 12006, 河東, B組
仇恨天, 14, 5915612, 0, 3956, 0, 5915612, 0, 3956, 0, 10253, 河東, B組
小海豹披薩, 135, 5861233, 0, 2760, 0, 5987197, 0, 2760, 0, 5000, 河北, C組
陶長秋, 88, 5699493, 0, 6223, 0, 5823527, 0, 6223, 0, 10254, 河北, B組
風雨雙修, 11, 5647527, 0, 6063, 0, 5647527, 0, 6063, 0, 8895, 河東, B組
RyanCats, 110, 5461742, 0, 1184, 0, 7525531, 0, 1184, 0, 11400, 河北, 資州門神
RR, 93, 5375907, 0, 5346, 0, 5675895, 0, 5346, 0, 10336, 河北, C組
批歪丨阿順, 30, 5349791, 0, 6806, 0, 5703303, 0, 6806, 0, 7363, 河北, C組
燕丨家榮志豪, 116, 5291805, 0, 952, 0, 5297487, 0, 952, 0, 7900, 河北, C組
工無不克, 107, 5199416, 0, 5295, 0, 6668460, 0, 5295, 0, 9910, 河北, 資州門神
批歪丨清風, 48, 5155627, 0, 6533, 0, 6864975, 0, 6533, 0, 7479, 河北, F組
包龍星, 133, 5153824, 0, 350, 0, 5693157, 0, 350, 0, 6900, 河北, F組
西八丨止水, 27, 5107802, 0, 5236, 0, 7111361, 0, 5236, 0, 8692, 河北, C組
海贼丨虫崽崽, 91, 5082495, 0, 5645, 0, 5082495, 0, 5645, 0, 8133, 河北, C組
西八丨芙莉蓮, 121, 5073617, 0, 2660, 0, 7176812, 0, 2660, 0, 7026, 河北, C組
尼姆, 89, 4963219, 0, 4830, 0, 7334349, 0, 4830, 0, 9591, 河北, B組
無双丨史坦娜, 119, 4942870, 0, 3642, 0, 6133094, 0, 3642, 0, 6578, 河東, F組
力宏敢, 152, 4814821, 0, 986, 11882, 5484370, 0, 986, 11882, 8680, 河北, B組
克萊兒, 71, 4775494, 1, 8243, 0, 5821441, 1, 8243, 0, 9710, 河東, B組
西八丨西瓜, 78, 4770570, 17, 4025, 0, 4770570, 17, 4025, 0, 9386, 河北, C組
圓圓固圓圓, 99, 4755236, 0, 2652, 0, 4755236, 0, 2652, 0, 9553, 河東, A組
祖寒, 57, 4699998, 0, 6133, 0, 5598146, 0, 6133, 0, 11374, 河東, B組
八卦丨羊羊兒, 127, 4633932, 0, 3134, 0, 6034212, 0, 3134, 0, 7291, 河北, 資州門神
雪月囧, 67, 4622798, 0, 6500, 0, 7084912, 0, 6500, 0, 8003, 河北, C組
仲孫骏琛, 83, 4586933, 0, 958, 0, 5193224, 0, 958, 0, 7862, 河北, C組
書童, 16, 4455294, 0, 5236, 0, 6429510, 0, 5236, 0, 9766, 河北, C組
阿良, 52, 4399716, 0, 6188, 0, 5558072, 0, 6188, 0, 9230, 河東, C組
明也, 132, 4341075, 277, 1470, 0, 4707152, 277, 1470, 0, 8963, 河東, 九關門神
海賊豹魯哥, 70, 4326309, 0, 5245, 0, 4329448, 0, 5245, 0, 7808, 河北, 九關門神
迷彩, 102, 4325149, 0, 3160, 102980, 4422373, 0, 3160, 102980, 10942, 河東, C組
海贼丨红豆, 13, 4223678, 104, 4480, 0, 6441745, 104, 4480, 0, 6270, 河北, C組
王文嫣, 128, 4129334, 0, 2149, 0, 5360053, 0, 2149, 0, 5673, 河北, F組
莫那泰雅, 139, 4029825, 0, 2208, 0, 4290858, 0, 2208, 0, 10712, 河北, B組
將軍, 68, 3978804, 0, 6580, 0, 5964439, 0, 6580, 0, 10376, 河北, C組
子無, 21, 3870438, 0, 6224, 0, 5587971, 0, 6224, 0, 8940, 河北, 鋪路小隊
榮正平, 105, 3647908, 151, 3958, 0, 3647908, 151, 3958, 0, 11447, 河北, C組
北屯曹孟德, 138, 3636379, 0, 2380, 0, 5234101, 0, 2380, 0, 9429, 河北, C組
員外, 155, 3589820, 0, 350, 0, 3884515, 0, 350, 0, 8280, 河北, C組
上官飛燕, 96, 3500727, 0, 4743, 0, 3500727, 0, 4743, 0, 8606, 河北, C組
神谷龍淵, 134, 3368639, 0, 2684, 0, 3368639, 0, 2684, 0, 11036, 河北, C組
西八丨科爾鴨, 115, 3270810, 0, 842, 0, 7493554, 0, 842, 0, 8335, 河北, F組
明治光秀, 129, 3190547, 12, 2464, 0, 3469255, 12, 2464, 0, 8383, 河北, F組
歐冶亭, 122, 3181464, 0, 4262, 0, 3353706, 0, 4262, 0, 7230, 河北, C組
百世經綸, 75, 3131955, 81, 5054, 0, 3131955, 81, 5054, 0, 10695, 河北, B組
