成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
天機丨太公望, 51, 4956715, 108, 5819, 0, 7367009, 108, 5819, 0, 9510, 河北, F組
Sowut, 149, 490118, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, F組
無雙丨尛, 2, 5792412, 0, 5236, 0, 8990404, 0, 5236, 0, 12016, 河東, A組
獵犬, 1, 8293612, 0, 4644, 0, 11602127, 0, 4644, 0, 13020, 河東, B組
狼丨阿巴怪, 19, 8464671, 0, 5110, 0, 11747295, 0, 5110, 0, 13510, 河東, 資州門神
狼丨暈船仔, 123, 6972423, 0, 3416, 0, 10318595, 0, 3416, 0, 12130, 河東, C組
文山青茶, 33, 5070957, 0, 5019, 0, 8012944, 0, 5019, 0, 8420, 河北, B組
西八丨皮卡皮, 68, 2101858, 0, 5370, 0, 2180860, 0, 5370, 0, 7163, 河東, A組
清嵐, 55, 2025766, 339, 5509, 0, 2249103, 339, 5509, 0, 6996, 河東, 資州門神
西八丨老婦人, 140, 1380554, 0, 1435, 0, 1427428, 0, 1435, 0, 3646, 河北, 九關門神
西八丨策鎖, 145, 1036191, 0, 644, 0, 2485080, 0, 644, 0, 6023, 河北, 九關門神
八卦丨滴滴兒, 148, 0, 0, 0, 0, 110289, 0, 0, 0, 1119, 河北, 鋪路小隊
無双丨史坦那, 66, 17191787, 0, 2578, 0, 22129587, 0, 2578, 0, 22030, 河東, A組
瘋玖陳, 10, 15560923, 1, 2289, 0, 19887290, 1, 2289, 0, 13650, 河北, A組
北門城衛, 47, 15476916, 0, 4984, 0, 18948268, 0, 4984, 0, 13170, 河東, A組
批歪丨培根, 4, 14368646, 0, 4508, 0, 17331481, 0, 4508, 0, 14820, 河北, 資州門神
劍仔十八世, 22, 11856180, 0, 4584, 0, 14888431, 0, 4584, 0, 14316, 河東, A組
宣颜, 18, 11807241, 0, 5889, 0, 14759629, 0, 5889, 0, 13200, 河北, C組
