成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
天機丨太公望, 95, 18510224, 2158, 13205, 164389, 40160058, 2266, 24424, 164389, 20836, 司隸, 天機海賊
獵犬, 5, 35389563, 61384, 9084, 164758, 71281224, 61384, 19866, 164758, 26520, 司隸, 天機海賊
無雙丨尛, 2, 26117161, 56049, 16156, 714535, 59586697, 56049, 28365, 714535, 29110, 司隸, 血流
狼丨阿巴怪, 18, 25949660, 56055, 10355, 452187, 56983973, 60850, 21695, 452187, 26970, 司隸, 天機海賊
西八丨皮卡皮, 112, 14526553, 18295, 9670, 939919, 23226432, 18295, 17322, 939919, 14860, 司隸, 西八屁屁
海賊丨金將, 164, 31019243, 3823, 3553, 121284, 33223802, 3823, 3903, 121284, 23319, 河東, 天機海賊
文山青茶, 13, 22016603, 56997, 8006, 165829, 47473611, 57759, 18047, 165829, 19490, 司隸, 文青茶棧
支援支援就好, 114, 21711705, 11212, 11938, 456565, 31079604, 11237, 22323, 456565, 16410, 司隸, 血流
海賊丨綠油精, 127, 21669749, 9781, 5449, 0, 29732594, 9781, 10449, 0, 17316, 司隸, 天機海賊
狼丨暈船仔, 23, 18439029, 62780, 8164, 467772, 46413476, 62780, 17110, 467772, 21266, 司隸, 天機海賊
西八丨策鎖, 143, 9503166, 3180, 6744, 825093, 17765315, 3908, 10679, 825093, 12743, 司隸, 西八屁屁
清嵐, 26, 7539165, 21315, 17212, 650585, 15108842, 21654, 35108, 650585, 14416, 司隸, 天機海賊
西八丨老婦人, 156, 5699030, 46, 4959, 665692, 11511699, 46, 7423, 665692, 14046, 司隸, 西八屁屁
Sowut, 179, 0, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, 文青茶棧
聖域のMoM, 9, 52465040, 72743, 8543, 123028, 94983660, 79817, 14062, 123028, 26820, 司隸, 血流
聖域の雲雲, 33, 50767226, 59685, 4801, 0, 88307249, 59685, 11882, 0, 28570, 司隸, 血流
聚丨織田信長, 168, 50307260, 529, 4907, 195294, 73113657, 538, 7227, 195294, 24500, 河東, 血流
光年之外, 34, 49053072, 57864, 16251, 168963, 79301396, 57865, 24187, 168963, 23636, 司隸, 文青茶棧
北門城衛, 35, 47576095, 36766, 14358, 528271, 89710984, 36766, 24869, 528271, 24450, 司隸, 文青茶棧
雲來俠客, 21, 44968737, 24331, 11672, 2687914, 69183695, 24344, 20828, 2687914, 21916, 司隸, 文青茶棧
無双丨射波師, 24, 44665351, 32542, 10787, 576600, 72341780, 32542, 20377, 576600, 23103, 河東, 文青茶棧
诸葛靖, 56, 44185834, 15920, 12392, 576428, 76480779, 18359, 20752, 576428, 26756, 河東, 西八屁屁
靈佬寺丶金童, 4, 43836781, 80843, 9939, 318602, 83978858, 85189, 18298, 318602, 29020, 司隸, 天機海賊
迷彩, 69, 42160322, 15511, 15908, 503849, 58632170, 15511, 21313, 606829, 26183, 司隸, 血流
歐冶亭, 49, 41687156, 47914, 11129, 186981, 60679902, 47914, 19065, 186981, 17790, 司隸, 血流
RR, 110, 41405016, 8588, 13035, 261268, 56410508, 8588, 23215, 261268, 20880, 司隸, 西八屁屁
批歪丨培根, 11, 41157131, 76632, 19257, 207514, 85937708, 76632, 28693, 207514, 23232, 司隸, 血流
董豆豆, 40, 41125066, 39797, 9946, 488276, 59506330, 39797, 14866, 488276, 22563, 司隸, 天機海賊
無双丨王騎, 7, 41078296, 69041, 14258, 450749, 67918246, 74343, 25099, 450749, 22156, 司隸, 文青茶棧
劍丨莫問, 42, 40204803, 38172, 8545, 539154, 70775057, 38172, 17355, 539154, 22563, 司隸, 文青茶棧
龍匀, 39, 38882400, 28594, 12756, 448891, 71938560, 28594, 22862, 448891, 26880, 司隸, 文青茶棧
西八丨兔兔, 10, 37438597, 64134, 18655, 598956, 66509234, 64341, 29819, 598956, 25693, 司隸, 西八屁屁
樂正小谷, 54, 36408498, 34875, 15360, 543068, 65894227, 34875, 22896, 543068, 22003, 司隸, 西八屁屁
一條根王, 93, 36096302, 11765, 10703, 570656, 58021521, 11765, 20393, 570656, 21742, 司隸, 西八屁屁
身輕如燕, 46, 36024213, 8395, 14149, 243682, 60584379, 10869, 23394, 243682, 23115, 司隸, 血流
海贼丨霸王, 3, 35678709, 83856, 15732, 766314, 70131769, 86650, 30192, 766314, 22713, 司隸, 天機海賊
太公望二世, 126, 35352290, 11216, 5988, 410087, 56404153, 11216, 14234, 410087, 17913, 司隸, 血流
通天飛賊, 132, 34274658, 10754, 4107, 402229, 57623421, 10754, 9230, 402229, 20693, 司隸, 文青茶棧
宣颜, 37, 33849647, 29251, 17587, 530720, 73784153, 29251, 29949, 530720, 24450, 司隸, 西八屁屁
丨九紋龍丨, 63, 33717320, 10848, 12189, 188130, 62434335, 12614, 19922, 249407, 22760, 司隸, 文青茶棧
陶長秋, 50, 33489747, 45483, 13236, 126485, 55062070, 45483, 24579, 126485, 18430, 司隸, 血流
一顆石頭, 43, 33432295, 53510, 7150, 484098, 33432295, 53510, 7150, 484098, 27060, 司隸, 西八屁屁
瘋玖陳, 1, 33418311, 126422, 9826, 522838, 83838326, 126423, 9826, 522838, 27683, 司隸, 天機海賊
