成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
大宇宙就是我, 73, 0, 0, 0, 0, 29453894, 6212, 35893, 1083289, 11570, 河東, 西八屁屁
海贼丨霸王, 4, 0, 0, 0, 0, 76005799, 111206, 32931, 766314, 22873, 司隸, 天機海賊
員外, 151, 0, 0, 0, 0, 35121920, 6740, 5715, 333625, 19983, 河東, 血流
王文嫣, 110, 0, 0, 0, 0, 50846617, 12537, 16179, 1001675, 25980, 河東, 天機海賊
出木杉同學, 114, 0, 0, 0, 0, 61389313, 31936, 7269, 538183, 23660, 司隸, 文青茶棧
魅力十足, 128, 0, 0, 0, 0, 61826694, 24685, 11505, 71485, 21973, 司隸, 西八屁屁
南門城衛, 103, 0, 0, 0, 0, 42529234, 10318, 22918, 555534, 19386, 司隸, 文青茶棧
海賊豹魯哥, 96, 0, 0, 0, 0, 33654858, 34495, 19431, 677473, 15630, 司隸, 天機海賊
海賊丨薩勃, 140, 0, 0, 0, 0, 31887986, 7993, 14235, 449096, 18529, 河東, 天機海賊
西八丨尾魚, 167, 0, 0, 0, 0, 7598424, 0, 3119, 0, 6403, 河東, 西八屁屁
呆腦獸, 78, 0, 0, 0, 0, 57510214, 32722, 21177, 535800, 24160, 司隸, 血流
祖寒, 51, 0, 0, 0, 0, 51605609, 29154, 39765, 564573, 28133, 司隸, 文青茶棧
山窮水盡, 12, 0, 0, 0, 0, 64873294, 48662, 35672, 464619, 24240, 司隸, 文青茶棧
子無, 91, 0, 0, 0, 0, 27967060, 16440, 26921, 631218, 20343, 河東, 血流
哈囉丨靖, 27, 0, 0, 0, 0, 56458447, 38261, 34038, 1053391, 22613, 司隸, 天機海賊
榮正平, 75, 0, 0, 0, 0, 33125149, 24959, 28225, 529600, 24916, 河東, 文青茶棧
巴士歐起來, 166, 0, 0, 0, 0, 23150682, 0, 0, 2757409, 19253, 河東, 文青茶棧
