成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
煙雨飄零, 182, 157616, 3153, 1050, 0, 14668747, 60102, 12497, 0, 19666, 河南, 睡著了
皇甫筱, 166, 148785, 2977, 0, 0, 173972984, 297108, 20459, 14247808, 37865, 淮陽, 出生二
人夫艾爾, 135, 133931, 2679, 0, 0, 186668840, 429606, 84755, 46686741, 28848, 淮陽, 出生一
獨行者, 165, 117211, 2298, 0, 0, 112555429, 286937, 4828, 137931133, 16475, 淮陽, 出生二
感物知春秋, 150, 96265, 1926, 0, 0, 93043686, 349236, 25994, 821424, 31922, 河南, 資州二
比干, 37, 70564, 1412, 0, 0, 258454541, 1527281, 144461, 9103548, 31623, 河南, 資州一
Des, 175, 49154, 751, 0, 0, 100228104, 149753, 10336, 783212, 18190, 淮陽, 出生二
兔子哦丶, 152, 46336, 696, 0, 0, 108269015, 374182, 6792, 3886247, 29993, 淮陽, 出生二
夢雲, 179, 38342, 0, 0, 0, 19052645, 137422, 1738, 0, 13648, 淮陽, 出生二
李大俠, 54, 37302, 0, 150, 0, 210987782, 1355044, 137384, 32845862, 37660, 河南, 資州一
百里涵容, 174, 25971, 521, 0, 0, 161280149, 137735, 13149, 59121751, 25230, 淮陽, 出生二
皓月, 127, 18500, 370, 0, 0, 143871326, 546444, 33212, 27540453, 19439, 河南, 資州二
就快地中海, 162, 9866, 0, 0, 0, 94333623, 300700, 28750, 602912, 26200, 淮陽, 出生二
琳琳丨毛球, 155, 6000, 0, 0, 0, 129191928, 146888, 46526, 3375124, 26283, 河南, 睡著了
幻風嵐, 173, 6000, 0, 0, 0, 90439113, 152752, 4300, 1167042, 16950, 河南, 睡著了
幼米, 14, 6000, 0, 0, 0, 386168696, 2126504, 90547, 2440807, 31966, 河南, 資州一
少爺的男傭, 96, 5022, 0, 0, 0, 133904260, 815892, 41359, 374934, 19063, 河南, 資州二
胖達熊貓送, 183, 2046, 0, 350, 0, 67957682, 74296, 5050, 0, 25438, 河南, 睡著了
豚君Shin, 69, 108, 0, 0, 0, 171349179, 1171362, 59377, 565388, 29260, 淮陽, 出生一
碩丨海斗, 180, 0, 0, 0, 0, 37964646, 96494, 1050, 525946, 6959, 河南, 睡著了
祁韜博, 63, 0, 0, 0, 0, 223125530, 1427394, 10035, 553065, 30753, 淮陽, 出生一
王一皇, 161, 0, 0, 0, 0, 57102387, 261840, 11822, 616866, 17800, 河南, 資州二
柒墨, 134, 0, 0, 0, 0, 102935757, 399765, 28422, 21027363, 25420, 河南, 資州二
小牡丹, 115, 0, 0, 0, 0, 77173269, 547347, 59036, 1412201, 12469, 淮陽, 出生二
YTHui, 78, 0, 0, 0, 0, 234020829, 1155417, 34027, 303198, 33190, 河南, 資州一
恩琳, 188, 0, 0, 0, 0, 26500470, 7661, 7455, 47358023, 11920, 河南, 睡著了
一牛當關, 70, 0, 0, 0, 0, 374512430, 1135014, 37906, 987974, 26450, 河南, 睡著了
老B乄, 43, 0, 0, 0, 0, 210912329, 1342528, 30990, 792628, 23950, 河南, 資州一
無双丨迦蘿, 185, 0, 0, 0, 0, 14046272, 38140, 1217, 5736143, 14096, 淮陽, 出生二
楓兔哦丶, 142, 0, 0, 0, 0, 119816756, 275796, 60217, 1058188, 22830, 河南, 睡著了
碩丨海妖, 191, 0, 0, 0, 0, 8454576, 2454, 350, 4572920, 3500, 淮陽, 出生二
批歪丨櫻花, 101, 0, 0, 0, 0, 129085595, 589679, 30720, 810715, 22720, 河南, 資州二
柴犬武士, 153, 0, 0, 0, 0, 91261868, 261498, 20864, 2712849, 22753, 河南, 睡著了
程语梦, 156, 0, 0, 0, 0, 172192028, 289806, 31328, 3484817, 15273, 淮陽, 出生二
輝丨年糕, 110, 0, 0, 0, 0, 101595166, 611423, 31757, 1307320, 18480, 河南, 睡著了
宅心仁厚, 84, 0, 0, 0, 0, 204082644, 1206599, 17014, 35518609, 26390, 淮陽, 出生一
小書生被扁, 193, 0, 0, 0, 0, 13796904, 627, 0, 0, 6970, 淮陽, 睡著了
一身是土, 122, 0, 0, 0, 0, 148765652, 552605, 25145, 1112659, 24250, 河南, 資州二
我命之路, 176, 0, 0, 0, 0, 146774802, 110928, 1750, 1414527, 23713, 淮陽, 睡著了
小夜嵐, 159, 0, 0, 0, 0, 122192131, 281543, 41828, 73915764, 23866, 淮陽, 出生二
無双丨花花, 148, 0, 0, 0, 0, 249233582, 401962, 14479, 180316254, 27281, 河南, 睡著了
芯芯, 130, 0, 0, 0, 0, 172529829, 474674, 57429, 863042, 29213, 河南, 資州二
年糕, 139, 0, 0, 0, 0, 65651650, 340205, 28054, 1795273, 15043, 河南, 睡著了
時意致, 50, 0, 0, 0, 0, 244108754, 1460722, 38309, 44123, 32590, 淮陽, 出生一
東方名, 172, 0, 0, 0, 0, 84390080, 154474, 12763, 809319, 26243, 淮陽, 睡著了
阿凱, 167, 0, 0, 0, 0, 39749020, 185849, 52040, 24663989, 10870, 河南, 睡著了
喔啦喔啦喔啦, 15, 0, 0, 0, 0, 245901685, 2346152, 28625, 811861, 32400, 河南, 資州一
大宇宙就是我, 141, 0, 0, 0, 0, 99249856, 301942, 45137, 589164, 16852, 淮陽, 出生二
麒麟鹿, 170, 0, 0, 0, 0, 49081893, 172727, 33803, 77505761, 26691, 河南, 睡著了
NOUS劍心, 147, 0, 0, 0, 0, 118592215, 386784, 20975, 1945123, 28020, 河南, 資州二
褚師阙, 39, 0, 0, 0, 0, 222038720, 1451710, 74584, 988017, 25270, 淮陽, 出生一
柴犬勇士, 146, 0, 0, 0, 0, 69485601, 318959, 25849, 2101368, 22043, 河南, 睡著了
酒丨嬴稷, 53, 0, 0, 0, 0, 230392900, 1417927, 32499, 34405942, 28550, 河南, 資州一
邪惡江江, 107, 0, 0, 0, 0, 148434378, 625360, 64292, 303220, 30959, 河南, 資州二
你怎麼會問我, 189, 0, 0, 0, 0, 18228127, 25091, 3903, 0, 4500, 河南, 睡著了
瘋兔哦丶, 25, 0, 0, 0, 0, 261877003, 1751199, 79904, 1337401, 30290, 河南, 資州一
鬱哲, 144, 0, 0, 0, 0, 113611690, 219269, 132089, 903621, 26906, 河南, 睡著了
蓁愛豪哥, 128, 0, 0, 0, 0, 173287178, 377720, 41459, 3683405, 26340, 河南, 資州二
